idx,PRODUCT_CODE,product_name,BRAND_NAME
558,427770234,C-TRI XP 250 MG INJECTION,C-TRI
559,427770233,C-TRI XP KID 125 MG INJECTION,C-TRI
560,421112613,CUTIECTO CREAM 30 GM,CUTIECTO
561,423331489,CYPOTIVATE SYRUP 200 ML,CYPOTIVATE
562,421111088,C-ZID 125 MG INJECTION,C-ZID
563,421110434,C-ZID 1GM,C-ZID
564,420000110,C-ZID 250 MG,C-ZID
565,420000111,C-ZID 500 MG,C-ZID
566,421111022,C-ZID TZ INJECTION,C-ZID
567,421111933,DABITRA 110 CAPSULES,DABITRA
568,421111934,DABITRA 150 CAPSULES,DABITRA
569,421111932,DABITRA 75 CAPSULES,DABITRA
570,424441468,DACLACURE 60 TABLET,DACLACURE
571,421111118,DAONIL M TABLETS,DAONIL
572,421111961,DAONIL M TABLETS 1X15 T,DAONIL
573,421111589,DAONIL TABLETS,DAONIL
574,421111590,DAONIL TABLETS 1 X 30 T,DAONIL
575,423331654,DAPAFOR 10 TABLET,DAPAFOR
576,423331655,DAPAFOR V 10/100 MG TABLET,DAPAFOR
577,423331480,DAPAFOR V 5/100 MG TABLET,DAPAFOR
578,423331657,DAPAFORMIN 1000 TABLET,DAPAFORMIN
579,423331656,DAPAFORMIN 500 TABLET,DAPAFORMIN
580,421112845,DAPAGZA 10 TABLET 1X15T,DAPAGZA
581,421112560,DAPAGZA 5 TABLET 1X15T,DAPAGZA
582,421112809,DAPAGZA L 10/5 TABLET 10x10T,DAPAGZA
583,421112847,DAPAGZA M 10/ 500 1X10T,DAPAGZA
584,421112564,DAPAGZA M 5/1000 1X10T,DAPAGZA
585,421112563,DAPAGZA M10/1000 1X10T,DAPAGZA
586,421110998,DAPTOCURE INJECTION,DAPTOCURE
587,422220083,DARBECURE 25 INJECTION PFS,DARBECURE
588,422220084,DARBECURE 40 INJECTION PFS,DARBECURE
589,422220179,DARBECURE 60 INJECTION PFS,DARBECURE
590,421110460,DEFSURE - 1 MG 6 T,DEFSURE
591,421110461,DEFSURE - 30 MG 6 T,DEFSURE
592,420500039,DEFSURE 6 TABLETS,DEFSURE
593,423330727,DEFSURE SUSPENSION,DEFSURE
594,421112156,DEGAREL 120MG INJECTION,DEGAREL
595,421112155,DEGAREL 80MG INJECTION,DEGAREL
596,424441790,DENLAFAX-100 TABLETS,DENLAFAX
597,424441789,DENLAFAX-50 TABLETS,DENLAFAX
598,421112650,DENMAB INJECTION 60 MG/ML,DENMAB
599,423331324,DERMITRUST CREAM,DERMITRUST
600,423331335,DERMITRUST DUSTING POWDER,DERMITRUST
601,423330595,DETADURA  25 INJECTION,DETADURA
602,423330596,DETADURA  50 INJECTION,DETADURA
603,421110560,DEXPURE I.V. 10 MG,DEXPURE
604,424440059,DEXPURE TABLET 5 MG,DEXPURE
605,424440058,DEXPURE TABLETS,DEXPURE
606,424440055,DEXPURE-D CAPSULES,DEXPURE
607,421110895,DHA CAL CAPSULES,DHA CAL
608,420000146,DICLOMOVE 50 TABLET,DICLOMOVE
609,421111951,DICLOMOVE FAST GEL 30GM,DICLOMOVE
610,421110875,DICLOMOVE GEL 30 GM,DICLOMOVE
611,421112850,DICLOMOVE HOT GEL 30 GM,DICLOMOVE
612,421112955,DICLOMOVE MR TABLET,DICLOMOVE
613,421112754,DICLOMOVE MR TABLET 20x10T,DICLOMOVE
614,420000437,DICLOMOVE NDS CR O GEL 30 GM,DICLOMOVE
615,421111025,DICLOMOVE P TABLET,DICLOMOVE
616,421112735,DICLOMOVE POWER GEL 30 GM,DICLOMOVE
617,421111004,DICLOMOVE SERA TABLETS,DICLOMOVE
618,421112193,DICLOMOVE SPRAY 35 GM,DICLOMOVE
619,421112235,DICLOMOVE SPRAY 55 GM,DICLOMOVE
620,424440213,DICLOMOVE SR TABLET 10,DICLOMOVE
621,429930727,DICLOPLAST 1X1 PATCHES,DICLOPLAST
622,429930613,DICLOPLAST 1X3 PATCHES,DICLOPLAST
623,423330723,DICLOPLAST PATCH 100 MG,DICLOPLAST
624,421112019,DILPRA 250 TABLETS,DILPRA
625,421112020,DILPRA 500 TABLETS,DILPRA
626,421111309,DILPRA OD 250 TABLETS,DILPRA
627,421111310,DILPRA OD 500 TABLETS,DILPRA
628,421111302,DILPRA OD 750 TABLETS,DILPRA
629,421112024,DILPRA-OD 1000 TABLETS,DILPRA
630,420000153,DILSAVE 4 MG TAB,DILSAVE
631,420000154,DILSAVE 8 MG,DILSAVE
632,424440214,DILSAVE TABLETS,DILSAVE
633,490310011,DILUENT FOR BICNU 100 INJECTION,BICNU
634,421112759,DILUENT FOR CONSIUM 100 INJ,CONSIUM
635,421111870,DINOR TABLET,DINOR
636,420030045,DIOF   SUSPENSION,DIOF
637,423331421,DIOF DS SUSPENSION,DIOF
638,423331332,DIOF DS SUSPENSION 60ML,DIOF
639,423331331,DIOF SUSPENSION 60ML,DIOF
640,420030046,DIOF TABLETS 10X10 T,DIOF
641,423330053,DIVEXX - P TABLETS,DIVEXX
642,423330050,DIVEXX 50 TABLETS,DIVEXX
643,423330051,DIVEXX GEL,DIVEXX
644,423330052,DIVEXX MR TABLETS,DIVEXX
645,421110039,DIVRET TABLET 1.5MG,DIVRET
646,423331797,DKOF AX SYRUP 100ML,DKOF
647,423331315,DKOF DX SYRUP 100ML,DKOF
648,423331071,DKOF LA SYRUP 100 ML,DKOF
649,423331072,DKOF LA SYRUP 60 ML,DKOF
650,423330548,DKOF SYRUP,DKOF
651,423330520,DOCEZAP 120 MG INJECTION,DOCEZAP
652,423330914,DOCEZAP 20 MG INJECTION,DOCEZAP
653,423330915,DOCEZAP 80 MG INJECTION,DOCEZAP
654,423330781,DOLESTIN 250 TABLETS,DOLESTIN
655,423330782,DOLESTIN 500 TABLETS,DOLESTIN
656,420001015,DOLOSPAN DP TABLET,DOLOSPAN
657,421111821,DOLOSPAN INJECTION,DOLOSPAN
658,421111825,DOLOSPAN P FIZZ TABLET,DOLOSPAN
659,421110042,DOLOSPAN P TABLETS,DOLOSPAN
660,421110043,DOLOSPAN SR TABLET,DOLOSPAN
661,421111806,DOLOSPAN TABLET,DOLOSPAN
662,421110714,DOLOSPAN-OD TABLETS,DOLOSPAN
663,421110328,DOTRA INJECTION,DOTRA
664,421112623,DOTRA-M TABLET,DOTRA
665,421110587,DOXAZ - 120 INJECTION,DOXAZ
666,422220050,DOXAZ - 80 INJECTION,DOXAZ
667,421110583,DOXAZ -20 INJECTION,DOXAZ
668,421112436,DULATINE 10% OINTMENT 15GM,DULATINE
669,421111573,DULATINE OINTMENT15 GM,DULATINE
670,421112303,DULATINE SOLUTION 100 ML,DULATINE
671,421112810,DULATINE SOLUTION 500 ML,DULATINE
672,421110791,DUOSPRAY 70 MD,DUOSPRAY
673,421112835,DYDROEVA SR 20 TABLET 3x10T,DYDROEVA
674,421112836,DYDROEVA SR 30 TABLET 3x10T,DYDROEVA
675,421112801,DYDROEVA TABLET 1X10T,DYDROEVA
676,421112692,DYDROEVA TABLET 1x30T,DYDROEVA
677,421112831,DYDROFEM SR 20 TABLET 3X10T,DYDROFEM
678,421112832,DYDROFEM SR 30 TABLET 3x10T,DYDROFEM
679,421112632,DYDROFEM TABLET 1X30T,DYDROFEM
680,421112800,DYDROFEM TABLETS,DYDROFEM
681,422220275,DYNULTA 500 MG TABLET,DYNULTA
682,421111620,E - TEL 20 TABLETS,E - TEL
683,421111621,E - TEL 40 TABLETS,E - TEL
684,421111021,E - TEL 80 H TABLETS,E - TEL
685,421111622,E - TEL 80 TABLETS,E - TEL
686,421111020,E - TEL H TABLETS,E - TEL
687,424441076,EFCURE 200 MG TABLET 30s,EFCURE
688,424441074,EFCURE 600 MG TABLET 30s,EFCURE
689,491110060,EFCURE ORAL SOLUTION,EFCURE
690,491110004,EFCURE TABLET,EFCURE
691,427770051,EFICEF - 100 DT TABLETS 10X10 T,EFICEF
692,427770052,EFICEF - 200 TABLETS 10X10 T,EFICEF
693,420590023,EFICEF - 50 DRY SYRUP 30 ML PS,EFICEF
694,427770050,EFICEF - 50 DT TABLETS 10X10 T,EFICEF
695,427770060,EFICEF CV 100 DT TABLETS,EFICEF
696,427770061,EFICEF CV 200 TABLETS,EFICEF
697,427770059,EFICEF CV 50 DT TABLETS,EFICEF
698,427770058,EFICEF DS DRY SYRUP,EFICEF
699,423331177,EFNOCAR 10 TABLETS,EFNOCAR
700,427770182,EFNOCAR 20 TABLETS,EFNOCAR
701,427770183,EFNOCAR 40 TABLETS,EFNOCAR
702,427770329,EFNOCAR-CT 40/12.5 TABLETS,EFNOCAR
703,427770327,EFNOCAR-CT-20/12.5 TABLETS,EFNOCAR
704,427770326,EFNOCAR-CT-20/6.25 TABLETS,EFNOCAR
705,427770328,EFNOCAR-CT-40/6.25 TABLETS,EFNOCAR
706,423331446,EFNOCAR-MX 40/25 TABLETS,EFNOCAR
707,427770330,EFNOCAR-T 20/40 TABLET,EFNOCAR
708,427770323,EFNOCAR-T 40/40  TABLET,EFNOCAR
709,420500064,EJALONG - 30 TABLETS 10X6 T,EJALONG
710,423330413,EJALONG - 60 TABLETS 10X6 T,EJALONG
711,423330419,EJALONG - XL TABLETS 10X1X4 T,EJALONG
712,422220129,ELAXIM 30,ELAXIM
713,422220131,ELAXIM 40 MG INJ 1 VIAL,ELAXIM
714,422220014,ELAXIM 50 MG INJ 1 VIAL,ELAXIM
715,421110688,ELCURE -150 TABLET,ELCURE
716,491110287,ELIGARD 22.5 MG INJECTABLE SUSPENSION,ELIGARD
717,492220085,ELIGARD 22.5MG DEPOT INJ,ELIGARD
718,421112685,ELIGARD 30 MG INJECTABLE SUSPENSION,ELIGARD
719,492220086,ELIGARD 45 MG DEPOT INJ.,ELIGARD
720,491110288,ELIGARD 45 MG INJECTABLE SUSPENSION,ELIGARD
721,491110286,ELIGARD 7.5 MG INJECTABLE SUSPENSION,ELIGARD
722,422220020,ELINAL 1 MG TABLET,ELINAL
723,421112189,ELOXIB 60 TABLETS,ELOXIB
724,421112191,ELOXIB TABLET 120 MG,ELOXIB
725,421112190,ELOXIB TABLET 90 MG,ELOXIB
726,421112817,ELOXIB TH4 TABLET,ELOXIB
727,423331355,ELRIZ 5 MG TABLETS,ELRIZ
728,423331604,ELRIZ D TABLET,ELRIZ
729,423330483,ELRIZ SYRUP,ELRIZ
730,420030047,ELRIZ TABLETS,ELRIZ
731,423331653,ELRIZ XL SYRUP,ELRIZ
732,427770163,ELRIZ XL TABLETS,ELRIZ
733,421112813,EMACCECLO SP TABLET,EMACCECLO-P
734,421113006,EMACCECLO-P TABLET,EMACCECLO-P
735,421113182,EMANZEN AP TABLET 10x10T,EMANZEN
736,421110987,EMANZEN D OINTMENT 30 GM,EMANZEN
737,424440056,EMANZEN D TABLET,EMANZEN
738,421112653,EMANZEN DP TABLET,EMANZEN
739,424440087,EMANZEN FORTE TABLET 10 MG,EMANZEN
740,420000468,EMANZEN N CAPSULES 10,EMANZEN
741,424440086,EMANZEN TABLET 5 MG,EMANZEN
742,421112228,EMANZEN TBR TABLETS 1X10 T,EMANZEN
743,421112229,EMANZEN TBR-DS TABLETS 1X10 T,EMANZEN
744,491110292,EMATRA CAPSULES,EMATRA
745,421112238,EMBREMMA 1 MG INJECTION,EMBREMMA
746,421112287,EMBREMMA INJECTION 0.5MG/ML,EMBREMMA
747,421111219,EMCARE WISE POWDER 400GM CHOCOLATE,EMCARE
748,421111218,EMCARE WISE POWDER 400GM VANILLA,EMCARE
749,494440123,EMCEPT-500 TABLETS,EMCEPT
750,491110131,EMCEPT-750 TABLETS 10X1X10 T,EMCEPT
751,494440032,EMCEPT-S  360 TABLETS,EMCEPT
752,421112690,EMCIPRO - 500 TABLETS,EMCIPRO
753,424441291,EMCLOZ 1 MG TABLET,EMCLOZ
754,424441289,EMCLOZ 0.25MG TABLET,EMCLOZ
755,424441290,EMCLOZ 0.5MG TABLET,EMCLOZ
756,421111789,EMCOR CREAM 15 GM,EMCOR
757,424441312,EMCORIL DX SYRUP 100 ML,EMCORIL
758,421111855,EMCORIL SYRUP 100 ML,EMCORIL
759,420000163,EMCOXIB - 12.5 20X10 T,EMCOXIB
760,420000164,EMCOXIB - 25 20X10 T,EMCOXIB
761,421111909,EMCURE ORS LIQUID ORANGE FLAV.200ML,EMCURE ORS
762,421111459,EMCURE ORS POWD.LEMON 30X21GM,EMCURE ORS
763,421111458,EMCURE ORS POWD.ORANGE,EMCURE ORS
764,421112428,EMDIP T40 TABLET,EMDIP
765,421112429,EMDIP T80 TABLET,EMDIP
766,421112312,EMDIP-16 TABLETS 10X10 T,EMDIP
767,421112311,EMDIP-8 TABLETS,EMDIP
768,491110016,EMDUO - E 40 2 X 5 KIT,EMDUO
769,491110005,EMDUO 30 TABLET,EMDUO
770,494440096,EMDUO 30 TABLET 1X60 T,EMDUO
771,491110174,EMDUO 40 TABLET,EMDUO
772,491110148,EMDUO E 30 KIT,EMDUO
773,494440100,EMDUO JUNIOR 2 X 10 TABLETS,EMDUO
774,491110179,EMDUO N 30 KIT,EMDUO
775,440000004,EMDUO N 40 KIT,EMDUO
776,491110024,EMDUO ORALSUSPENSION,EMDUO
777,421112232,EMDURAL 25 MG INJECTION,EMDURAL
778,421112233,EMDURAL 50 MG INJECTION,EMDURAL
779,421112833,EMDYDRO SR 20 TABLET 3x10T,EMDYDRO
780,421112834,EMDYDRO SR 30 TABLET 3x10T,EMDYDRO
781,421112645,EMDYDRO TABLET 1X10T,EMDYDRO
782,421112693,EMDYDRO TABLET 1x30T,EMDYDRO
783,421112250,EMFEBCURE 40 TABLET,EMFEBCURE
784,421112251,EMFEBCURE 80 TABLET,EMFEBCURE
785,421111656,EMFENACIN 5 TABLET,EMFENACIN
786,422220021,EMFIB 250 TABLET,EMFIB
787,421110181,EMFOLIC DROPS,EMFOLIC
788,421110051,EMFOLIC INJECTION,EMFOLIC
789,421110176,EMFOLIC SYRUP 100 ML,EMFOLIC
790,421111697,EMFOLIC TABLET,EMFOLIC
791,421110537,EMFOLIC-DHA CAPSULES,EMFOLIC
792,421110751,EMGARD-10 TABLETS,EMGARD
793,421110750,EMGARD-5 TABLETS,EMGARD
794,421111764,EMGLOBULIN INJECTION,EMGLOBULIN
795,421110768,EMGRA D TABLETS,EMGRA
796,421110734,EMGRA TABLETS,EMGRA
797,424440438,EMGRAF - 2 CAPSULES,EMGRAF
798,424440436,EMGRAF 0.5 CAPSULES,EMGRAF
799,421110614,EMGRAF-1 CAPSULES,EMGRAF
800,492220028,EMGRAST 150 MCG,EMGRAST
801,422220194,EMGRAST 300 MCG INJ 1 PFS,EMGRAST
802,492220023,EMGRAST- M 250 MCG,EMGRAST
803,492220001,EMGRAST M 300 INJECTION,EMGRAST
804,491110105,EMGRAST M 500 INJECTION,EMGRAST
805,493330062,EMIGO - 8 TABLETS 10X10 T,EMIGO
806,423331046,EMIGO 4 MG INJECTION 2 ML,EMIGO
807,427770146,EMIGO 4 MG TABLETS,EMIGO
808,423331047,EMIGO 8 MG INJECTION 4 ML,EMIGO
809,427770126,EMIGO MD TABLETS,EMIGO
810,423331104,EMIGO ORAL SOLUTION,EMIGO
811,420030111,EMIGO SUSPENSION,EMIGO
812,421112857,EMILDAP 10 TABLET 1X15T,EMILDAP
813,421112568,EMILDAP 5 TABLET 1X15T,EMILDAP
814,421112742,EMILDAP GM 10/1/1000 TABLET 10x10T,EMILDAP
815,421112743,EMILDAP GM 10/2/1000 TABLET 10x10T,EMILDAP
816,421112571,EMILDAP M10/1000 1X10T,EMILDAP
817,421112860,EMILDAP M10/500 1X10T,EMILDAP
818,421112866,EMILDAP S 10/100 TABLET 1X10T,EMILDAP
819,421112616,EMILDAP S 10/50 TABLET 1X10T,EMILDAP
820,421112606,EMILDAP S 5/50 TABLET 1X 10T,EMILDAP
821,421112629,EMILDAP TRIO FORTE TABLET 1x10T,EMILDAP
822,421112884,EMILDAP TRIO TABLET 1x10T,EMILDAP
823,421110595,EMILIN-M CAPSULES,EMILIN
824,491110327,EMLETRA 200/50 MG TABLET 60s,EMLETRA
825,491110208,EMLETRA JUNIOR TABLETS,EMLETRA
826,424441533,EMLETRA TABLET 1x120T,EMLETRA
827,491110071,EMLETRA TABLETS,EMLETRA
828,421112145,EMLEVO - XR 1000 TABLET,EMLEVO
829,421112028,EMLEVO - XR 500 TABLET,EMLEVO
830,421112144,EMLEVO - XR 750 TABLET,EMLEVO
831,421112029,EMLEVO 1000 TABLET,EMLEVO
832,421112030,EMLEVO 250 TABLET,EMLEVO
833,421112031,EMLEVO 500 TABLET,EMLEVO
834,421113002,EMLEVO 500 TABLET 1 X 15 T,EMLEVO
835,421112032,EMLEVO 750 TABLET,EMLEVO
836,421112033,EMLEVO INJECTION 5ML,EMLEVO
837,421112034,EMLEVO SOLUTION 100 ML,EMLEVO
838,421112553,EMLINZ 5 TABLET 1x10T,EMLINZ
839,421112771,EMLINZ D 5/10 TABLET 1x10T,EMLINZ
840,421112934,EMLINZ DM FORTE TABLET 10x10T,EMLINZ
841,421112935,EMLINZ DM TABLET 10x10T,EMLINZ
842,421112772,EMLINZ M 1000 TABLET 1x10T,EMLINZ
843,429991542,EMLINZ M 2.5/1000 TAB 1X10T,EMLINZ
844,421112558,EMLINZ M 500 TABLET 1x10T,EMLINZ
845,421112828,EMLINZ M5/1000 TABLET 10x10T,EMLINZ
846,421111946,EMLUZ CREAM 10 GM,EMLUZ
847,421112492,EMLUZ CREAM 1X40 GM,EMLUZ
848,421112491,EMLUZ CREAM 20 GM,EMLUZ
849,421111783,EMLUZ LOTION,EMLUZ
850,421112598,EMMDARA INJECTION 50MG/2ML,EMMDARA
851,421110782,EMNAC TABLETS,EMNAC
852,420000717,EMNETIC TABLETS 10X15 T,EMNETIC
853,421110722,EMNETIC-OD TABLETS,EMNETIC
854,421110353,EMNEURO - 500 INJECTION 1 ML,EMNEURO
855,421110268,EMNEURO INJECTION,EMNEURO
856,421110053,EMNEURO TABLETS,EMNEURO
857,421113082,EMNOROZ IN CAPSULE,EMNOROZ
858,421111687,EMNU 1 GM INJECTION,EMNU
859,421112676,EMNU 500 MG INJECTION,EMNU
860,421110463,EMPERIDE M 1 TABLET,EMPERIDE
861,421110464,EMPERIDE M 2 TABLET,EMPERIDE
862,421110465,EMPERIDE MP 1 TABLET,EMPERIDE
863,421110466,EMPERIDE MP 2 TABLET,EMPERIDE
864,421110467,EMPERIDE TABLET 1 MG,EMPERIDE
865,421110468,EMPERIDE TABLET 2 MG,EMPERIDE
866,491110012,EMPETUS 100 MG TABLET 30s,EMPETUS
867,491110370,EMPETUS TABLETS,EMPETUS
868,421113067,EMPRI 10MG TABLET 10x10T,EMPRI
869,421113068,EMPRI 25MG TABLET 10x10T,EMPRI
870,421113069,EMPRI L 10/5MG TABLET 10x10T,EMPRI
871,421113070,EMPRI L 25/5MG TABLET 10x10T,EMPRI
872,421113072,EMPRI M 12.5/1000MG TABLET 10x10T,EMPRI
873,421113071,EMPRI M 12.5/500 MG TABLET 10x10T,EMPRI
874,421110405,EMPRI TABLET,EMPRI
875,421111435,EMPROGEST EV 200 TABLET,EMPROGEST
876,421111436,EMPROGEST GEL 1.125 GM,EMPROGEST
877,421111437,EMPROGEST SR 200 TABLET,EMPROGEST
878,421111438,EMPROGEST SR 300 TABLET,EMPROGEST
879,491110300,EMPROGEST SR 400 TABLET,EMPROGEST
880,491110240,EMPROGEST-100 CAPSULE,EMPROGEST
881,491110252,EMPROGEST-100 INJECTION,EMPROGEST
882,421111441,EMPROGEST-200 CAPSULE,EMPROGEST
883,491110253,EMPROGEST-200 INJECTION,EMPROGEST
884,421111442,EMPROGEST-400 CAPSULE,EMPROGEST
885,424440111,EMRAB D CAPSULES,EMRAB
886,424440093,EMRAB TABLETS,EMRAB
887,420000172,EMRAB-20 TABLET,EMRAB
888,421112952,EMRAXI 0.25 MG TABLET 1x10T,EMRAXI
889,421112953,EMRAXI 0.5 MG TABLET 1x10T,EMRAXI
890,421110404,EMRID TABLET,EMRID
891,420000173,EMROFT - 12.5 20X10 T,EMROFT
892,429990212,EMROFT - 25 20X10 T,EMROFT
893,420000175,EMROFT - 50 30X10 T,EMROFT
894,421112035,EMSIDON - 40 TABLET,EMSIDON
895,421112036,EMSIDON - 80 TABLET,EMSIDON
896,421112134,EMSILAC 100 TABLET,EMSILAC
897,421112135,EMSILAC 150 TABLET,EMSILAC
898,421112136,EMSILAC 200 TABLET,EMSILAC
899,421112133,EMSILAC 50 TABLET,EMSILAC
900,421112585,EMSITA 100 MG TABLET 1X10T,EMSITA
901,421112584,EMSITA 50 MG TABLET 1X10T,EMSITA
902,421112882,EMSITA D 100/10 TABLET 1X10T,EMSITA
903,421112617,EMSITA D 50/10 TABLET 1X10T,EMSITA
904,421112865,EMSITA D 50/5 TABLET 1X10T,EMSITA
905,421112697,EMSITA GM 50/1/1000 TABLET 10x10T,EMSITA
906,421112695,EMSITA GM 50/1/500 TABLET 10x10T,EMSITA
907,421112698,EMSITA GM 50/2/1000 TABLET 10x10T,EMSITA
